"Acres","FamilyIncome","FamilyType","NumBedrooms","NumChildren","NumPeople","NumRooms","NumUnits","NumVehicles","NumWorkers","OwnRent","YearBuilt","HouseCosts","ElectricBill","FoodStamp","HeatingFuel","Insurance","Language","Income"
"1-10",149000,"Married",3,1,3,21,"Single detached",3,2,"Mortgage","2000-2004",260,120,"No","Oil",400,"English","Below"
"Sub 1",176000,"Married",3,0,3,7,"Single detached",2,3,"Mortgage","1960-1969",2400,120,"No","Gas",1200,"English","Above"
"1-10",103700,"Married",3,0,3,5,"Mobile home",3,3,"Mortgage","1980-1989",530,190,"No","Oil",500,"English","Below"
"1-10",163000,"Married",3,0,4,5,"Single detached",3,3,"Mortgage","1990-1999",550,100,"No","Wood",700,"English","Above"
"Sub 1",277000,"Married",4,2,4,7,"Single detached",1,2,"Rented","Before 1939",2000,210,"No","Gas",0,"Other European","Above"
"1-10",49200,"Male Head",3,0,4,6,"Single detached",4,3,"Mortgage","1960-1969",700,190,"No","Oil",550,"English","Below"
"1-10",80000,"Married",3,0,2,5,"Single detached",2,2,"Mortgage","Before 1939",980,150,"No","Gas",400,"English","Below"
"Sub 1",11500,"Male Head",2,1,3,6,"Single detached",1,1,"Rented","1970-1979",430,150,"No","Gas",0,"English","Below"
"1-10",78800,"Married",3,0,2,6,"Single detached",2,1,"Mortgage","1980-1989",1300,140,"No","Gas",700,"Other European","Below"
"Sub 1",87000,"Married",3,2,4,6,"Single detached",3,2,"Mortgage","Before 1939",450,100,"No","Electricity",500,"English","Below"
"10+",101100,"Married",3,1,3,8,"Single detached",2,2,"Mortgage","Before 1939",730,80,"No","Gas",940,"English","Below"
"Sub 1",159000,"Female Head",3,0,3,7,"Single detached",2,2,"Mortgage","1970-1979",1800,230,"No","Oil",1100,"English","Above"
"Sub 1",116900,"Female Head",8,0,6,13,"Single attached",2,3,"Mortgage","Before 1939",3000,200,"No","Oil",2600,"English","Below"
"Sub 1",55200,"Female Head",3,0,3,6,"Single detached",1,0,"Mortgage","1960-1969",1900,160,"Yes","Gas",2000,"English","Below"
"Sub 1",117000,"Female Head",5,0,3,10,"Single detached",3,1,"Mortgage","1990-1999",900,160,"No","Gas",1200,"Asian Pacific","Below"
"Sub 1",165000,"Married",4,2,4,8,"Single detached",3,2,"Mortgage","1980-1989",3200,150,"No","Oil",1200,"English","Above"
"Sub 1",148000,"Married",3,0,5,7,"Single detached",2,3,"Mortgage","1960-1969",3200,200,"No","Oil",1600,"Asian Pacific","Below"
"Sub 1",80000,"Male Head",2,1,3,3,"Single attached",2,2,"Mortgage","1950-1959",500,90,"No","Gas",650,"Asian Pacific","Below"
"Sub 1",298300,"Married",4,0,2,8,"Single detached",2,2,"Mortgage","1950-1959",2300,230,"No","Oil",1200,"English","Above"
"Sub 1",261900,"Married",5,2,8,9,"Single detached",2,3,"Mortgage","Before 1939",1000,70,"No","Gas",1200,"English","Above"
"Sub 1",121000,"Married",3,0,2,7,"Single detached",2,2,"Mortgage","Before 1939",720,130,"No","Oil",1000,"English","Below"
"Sub 1",141300,"Married",4,0,2,10,"Single detached",2,2,"Mortgage","1940-1949",150,320,"No","Gas",2500,"Other European","Below"
"1-10",31000,"Married",3,2,4,6,"Mobile home",2,1,"Rented","1950-1959",300,40,"No","Wood",0,"English","Below"
"1-10",122300,"Married",3,0,4,8,"Single detached",6,3,"Mortgage","1990-1999",100,170,"No","Wood",240,"English","Below"
"Sub 1",77200,"Married",3,0,2,10,"Single detached",2,0,"Mortgage","2000-2004",550,160,"No","Gas",600,"English","Below"
"Sub 1",80000,"Married",3,3,5,10,"Single detached",2,1,"Mortgage","2000-2004",1900,150,"No","Gas",2000,"English","Below"
"Sub 1",42500,"Female Head",3,3,5,8,"Mobile home",0,1,"Mortgage","1990-1999",420,140,"No","Gas",150,"English","Below"
"Sub 1",100130,"Married",4,3,5,8,"Single detached",2,1,"Mortgage","Before 1939",570,70,"No","Electricity",360,"English","Below"
"Sub 1",76000,"Married",3,1,4,6,"Single attached",2,2,"Mortgage","1950-1959",960,190,"No","Gas",1400,"Other European","Below"
"1-10",155000,"Married",5,3,5,10,"Single detached",2,2,"Mortgage","1960-1969",1800,280,"No","Wood",0,"English","Above"
"1-10",113000,"Married",4,2,4,7,"Single detached",1,2,"Mortgage","2000-2004",2800,230,"No","Oil",900,"English","Below"
"Sub 1",59000,"Male Head",3,0,4,7,"Single detached",2,2,"Rented","Before 1939",480,170,"No","Oil",0,"English","Below"
"Sub 1",182700,"Married",4,0,3,11,"Single detached",4,3,"Mortgage","Before 1939",3500,240,"No","Gas",1500,"English","Above"
"1-10",124300,"Married",3,0,2,7,"Single detached",2,2,"Mortgage","Before 1939",500,50,"No","Oil",740,"English","Below"
"1-10",26100,"Married",3,0,2,6,"Single detached",1,1,"Mortgage","2005",1000,180,"No","Wood",1000,"Other European","Below"
"1-10",54000,"Married",3,0,2,5,"Mobile home",3,2,"Mortgage","2000-2004",970,130,"No","Electricity",370,"English","Below"
"Sub 1",93000,"Married",3,1,3,8,"Single detached",2,2,"Mortgage","Before 1939",880,240,"No","Gas",580,"English","Below"
"Sub 1",73600,"Married",3,0,2,6,"Single detached",2,0,"Mortgage","1980-1989",510,150,"No","Electricity",680,"English","Below"
"Sub 1",100000,"Married",3,1,3,7,"Single detached",2,2,"Mortgage","1960-1969",1200,170,"No","Oil",550,"English","Below"
"Sub 1",81000,"Married",2,0,2,5,"Single attached",3,1,"Mortgage","1980-1989",4050,300,"No","Electricity",350,"Asian Pacific","Below"
"Sub 1",588000,"Married",4,0,4,9,"Single detached",3,3,"Mortgage","1960-1969",1300,480,"No","Gas",900,"English","Above"
"10+",25000,"Female Head",4,0,2,10,"Single detached",0,2,"Rented","Before 1939",1400,210,"No","Gas",0,"Spanish","Below"
"Sub 1",22500,"Male Head",4,0,2,7,"Single detached",1,0,"Mortgage","Before 1939",410,60,"Yes","Gas",600,"English","Below"
"Sub 1",37000,"Male Head",3,1,4,6,"Single detached",1,1,"Mortgage","Before 1939",1100,200,"No","Gas",1200,"English","Below"
"Sub 1",76200,"Married",3,1,3,9,"Single detached",3,2,"Mortgage","1990-1999",750,80,"No","Oil",600,"English","Below"
"Sub 1",201980,"Married",4,0,4,7,"Single detached",3,2,"Rented","1950-1959",2000,300,"No","Gas",0,"Other European","Above"
"Sub 1",318300,"Married",2,0,3,4,"Single attached",3,3,"Mortgage","2008",1550,200,"No","Gas",1800,"English","Above"
"Sub 1",18500,"Married",3,0,2,9,"Single detached",1,0,"Mortgage","1950-1959",370,80,"No","Oil",500,"English","Below"
"Sub 1",54000,"Male Head",3,2,5,4,"Mobile home",2,1,"Rented","1980-1989",530,200,"Yes","Oil",0,"English","Below"
"10+",50000,"Married",5,1,3,8,"Single detached",5,1,"Mortgage","Before 1939",500,80,"No","Oil",550,"English","Below"
"1-10",56000,"Female Head",4,0,3,8,"Single detached",4,3,"Mortgage","Before 1939",1000,200,"No","Gas",1100,"English","Below"
"Sub 1",34000,"Married",3,0,2,6,"Single detached",1,2,"Rented","Before 1939",400,100,"No","Gas",0,"English","Below"
"1-10",26700,"Married",3,0,2,8,"Single detached",0,1,"Mortgage","1990-1999",580,50,"No","Gas",1000,"English","Below"
"1-10",145500,"Married",4,5,7,8,"Single detached",2,1,"Mortgage","1970-1979",800,300,"No","Wood",500,"English","Below"
"Sub 1",58000,"Married",2,2,4,4,"Single detached",2,2,"Mortgage","1950-1959",630,100,"No","Gas",380,"English","Below"
"1-10",116000,"Married",2,0,3,4,"Single detached",3,3,"Mortgage","1990-1999",600,90,"No","Gas",600,"English","Below"
"Sub 1",48700,"Married",3,0,2,5,"Single detached",2,2,"Mortgage","1970-1979",2000,240,"No","Gas",1600,"English","Below"
"Sub 1",89600,"Married",3,2,4,7,"Single detached",2,2,"Mortgage","2009",2000,200,"No","Gas",400,"English","Below"
"Sub 1",64000,"Male Head",3,2,3,5,"Single detached",1,1,"Mortgage","2000-2004",780,90,"No","Gas",1300,"English","Below"
"Sub 1",125500,"Married",2,0,2,5,"Single detached",2,2,"Mortgage","Before 1939",1700,70,"No","Oil",670,"English","Below"
"Sub 1",153200,"Married",4,4,6,6,"Single detached",2,2,"Mortgage","Before 1939",1400,200,"No","Gas",3500,"English","Above"
"Sub 1",64200,"Married",3,0,2,6,"Single detached",2,2,"Mortgage","1970-1979",900,100,"No","Oil",700,"English","Below"
"Sub 1",61000,"Female Head",2,1,3,4,"Single detached",1,2,"Rented","1950-1959",600,100,"No","Gas",0,"English","Below"
"1-10",112600,"Married",3,1,4,7,"Single detached",3,3,"Mortgage","1950-1959",1200,30,"No","Gas",400,"English","Below"
"1-10",200000,"Married",5,2,4,10,"Single detached",2,1,"Mortgage","1960-1969",3800,500,"No","Oil",1200,"English","Above"
"Sub 1",56900,"Female Head",3,0,5,10,"Single detached",1,2,"Mortgage","1950-1959",390,400,"No","Gas",700,"English","Below"
"10+",78900,"Married",4,3,5,9,"Single detached",3,2,"Mortgage","2000-2004",2000,110,"No","Wood",690,"English","Below"
"Sub 1",329600,"Married",3,0,2,7,"Single attached",2,0,"Mortgage","1970-1979",3220,200,"No","Electricity",6600,"English","Above"
"1-10",50000,"Married",3,1,3,6,"Single detached",2,2,"Mortgage","1940-1949",670,60,"No","Gas",0,"English","Below"
"Sub 1",8740,"Female Head",3,1,2,6,"Single detached",0,0,"Rented","1950-1959",400,100,"Yes","Gas",0,"English","Below"
"Sub 1",10200,"Married",3,0,2,6,"Single detached",1,0,"Mortgage","Before 1939",310,100,"No","Gas",3000,"English","Below"
"Sub 1",142000,"Married",3,0,2,9,"Single detached",2,2,"Mortgage","2000-2004",990,160,"No","Gas",350,"English","Below"
"Sub 1",115400,"Male Head",3,1,3,7,"Single detached",2,3,"Mortgage","1990-1999",2300,50,"No","Oil",850,"English","Below"
"1-10",80000,"Married",3,0,2,6,"Single detached",3,2,"Mortgage","1980-1989",490,100,"No","Electricity",120,"English","Below"
"Sub 1",56400,"Married",4,0,2,7,"Single detached",2,1,"Rented","Before 1939",470,250,"No","Gas",0,"English","Below"
"Sub 1",97400,"Married",4,0,2,6,"Single detached",2,1,"Mortgage","Before 1939",700,130,"No","Gas",790,"English","Below"
"Sub 1",82500,"Married",3,1,3,10,"Single detached",2,2,"Mortgage","Before 1939",990,100,"No","Gas",1200,"English","Below"
"Sub 1",63000,"Female Head",3,3,9,7,"Single detached",1,2,"Rented","1960-1969",1600,300,"Yes","Electricity",0,"Spanish","Below"
"Sub 1",73800,"Female Head",3,0,3,7,"Single attached",0,2,"Mortgage","1980-1989",2600,260,"No","Gas",1000,"English","Below"
"Sub 1",81500,"Married",4,1,4,8,"Single detached",1,3,"Mortgage","1970-1979",700,190,"No","Gas",250,"English","Below"
"10+",56000,"Female Head",3,2,3,5,"Single detached",1,1,"Mortgage","2000-2004",510,160,"No","Gas",500,"English","Below"
"Sub 1",16600,"Married",3,0,4,4,"Single detached",0,0,"Mortgage","1960-1969",2100,110,"No","Gas",1200,"Other European","Below"
"Sub 1",224700,"Married",3,0,4,4,"Single detached",4,3,"Mortgage","1980-1989",2600,130,"No","Oil",1000,"English","Above"
"Sub 1",112000,"Male Head",4,1,2,7,"Single detached",1,2,"Mortgage","1970-1979",2100,50,"No","Gas",850,"English","Below"
"Sub 1",86000,"Married",4,0,4,7,"Single detached",3,2,"Mortgage","1970-1979",1000,150,"No","Oil",1200,"Other European","Below"
"Sub 1",40000,"Married",3,1,3,12,"Single detached",2,2,"Mortgage","Before 1939",320,110,"No","Other",500,"English","Below"
"1-10",77440,"Married",5,2,4,10,"Single detached",2,1,"Mortgage","Before 1939",610,130,"No","Gas",880,"English","Below"
"Sub 1",174000,"Married",5,0,2,9,"Single detached",3,2,"Mortgage","1970-1979",1900,580,"No","Gas",560,"English","Above"
"Sub 1",120000,"Married",4,3,5,10,"Single detached",3,2,"Mortgage","Before 1939",1300,130,"No","Oil",600,"English","Below"
"1-10",547000,"Married",4,0,2,7,"Single detached",3,1,"Mortgage","1960-1969",6500,240,"No","Oil",6600,"English","Above"
"1-10",147900,"Male Head",4,0,4,10,"Single detached",1,2,"Mortgage","1990-1999",3300,200,"No","Gas",600,"English","Below"
"Sub 1",67000,"Married",3,0,2,8,"Single detached",2,2,"Mortgage","1940-1949",800,70,"No","Wood",470,"English","Below"
"10+",112700,"Married",3,0,2,7,"Single detached",3,2,"Mortgage","1990-1999",990,100,"No","Wood",550,"English","Below"
"Sub 1",50630,"Married",3,2,4,8,"Single detached",2,2,"Mortgage","Before 1939",1200,210,"No","Electricity",450,"English","Below"
"1-10",47800,"Married",3,3,5,7,"Single detached",2,2,"Mortgage","1990-1999",650,150,"No","Oil",500,"English","Below"
"Sub 1",20500,"Male Head",2,0,2,5,"Single detached",1,0,"Mortgage","Before 1939",1800,200,"No","Oil",900,"English","Below"
"Sub 1",65000,"Married",2,1,3,6,"Single detached",1,2,"Mortgage","1940-1949",550,130,"No","Oil",300,"English","Below"
"Sub 1",45200,"Married",3,0,2,5,"Single detached",2,1,"Mortgage","1950-1959",1300,50,"No","Gas",840,"English","Below"
"Sub 1",142000,"Married",3,2,4,6,"Single detached",2,1,"Mortgage","1940-1949",1600,180,"No","Gas",1800,"English","Below"
"1-10",137700,"Married",3,0,2,5,"Single detached",2,2,"Mortgage","1990-1999",2200,200,"No","Oil",1200,"English","Below"
"Sub 1",250000,"Married",5,3,5,10,"Single detached",2,2,"Mortgage","1950-1959",1900,400,"No","Gas",2000,"Other","Above"
"Sub 1",66600,"Married",4,0,3,6,"Single detached",3,2,"Mortgage","1950-1959",1200,70,"Yes","Gas",500,"English","Below"
"1-10",95000,"Married",3,1,3,7,"Single detached",4,2,"Mortgage","1990-1999",430,200,"No","Oil",600,"English","Below"
"Sub 1",103000,"Married",4,2,4,6,"Single detached",2,2,"Mortgage","1950-1959",3300,100,"No","Gas",1700,"Other European","Below"
"Sub 1",255000,"Married",4,2,4,8,"Single detached",2,2,"Mortgage","2008",4500,400,"No","Gas",1800,"English","Above"
"Sub 1",161000,"Married",4,2,4,11,"Single detached",2,2,"Mortgage","Before 1939",880,30,"No","Gas",400,"English","Above"
"1-10",76200,"Married",3,0,2,5,"Single detached",2,2,"Mortgage","1950-1959",290,120,"No","Oil",270,"English","Below"
"Sub 1",58100,"Married",3,0,3,5,"Single detached",2,0,"Mortgage","1960-1969",350,170,"No","Oil",400,"English","Below"
"Sub 1",74600,"Married",4,0,3,8,"Single detached",1,1,"Mortgage","1980-1989",1700,180,"No","Oil",2200,"Other European","Below"
"Sub 1",342000,"Married",3,0,2,5,"Single detached",2,2,"Mortgage","1960-1969",2200,150,"No","Gas",1200,"English","Above"
"Sub 1",100000,"Married",4,0,2,7,"Single detached",2,2,"Mortgage","Before 1939",1000,50,"No","Oil",1200,"English","Below"
"Sub 1",83000,"Married",2,0,2,3,"Single attached",1,2,"Mortgage","2000-2004",1600,80,"No","Electricity",1000,"English","Below"
"Sub 1",130400,"Married",4,3,5,8,"Single detached",2,2,"Mortgage","Before 1939",1800,300,"No","Gas",1300,"English","Below"
"10+",20000,"Married",1,3,5,3,"Single detached",0,1,"Rented","2008",600,2,"No","Wood",0,"Other European","Below"
"Sub 1",28000,"Married",3,0,2,6,"Single attached",0,1,"Mortgage","Before 1939",1300,100,"No","Gas",1400,"Spanish","Below"
"Sub 1",59000,"Married",3,2,4,6,"Single detached",1,2,"Mortgage","1990-1999",280,250,"No","Gas",700,"Spanish","Below"
"Sub 1",95600,"Married",3,1,3,4,"Single detached",1,1,"Mortgage","1950-1959",2000,200,"No","Oil",1400,"Other","Below"
"1-10",541700,"Married",3,0,2,9,"Single detached",2,1,"Mortgage","1960-1969",480,250,"No","Oil",400,"English","Above"
"1-10",127000,"Married",3,1,3,8,"Single detached",2,2,"Mortgage","1990-1999",600,110,"No","Oil",450,"English","Below"
"1-10",38500,"Married",3,0,3,5,"Mobile home",1,2,"Rented","1980-1989",400,110,"No","Electricity",0,"English","Below"
"Sub 1",149700,"Married",3,2,4,6,"Single detached",2,2,"Mortgage","1950-1959",1500,130,"No","Gas",1200,"Asian Pacific","Below"
"10+",13700,"Male Head",3,0,4,5,"Single detached",2,0,"Mortgage","1980-1989",1100,190,"Yes","Wood",700,"English","Below"
"Sub 1",53600,"Married",4,1,3,9,"Single detached",1,1,"Mortgage","Before 1939",1100,130,"No","Gas",500,"English","Below"
"Sub 1",164500,"Married",4,0,3,9,"Single detached",2,3,"Mortgage","1950-1959",2500,250,"No","Gas",1200,"English","Above"
"Sub 1",79000,"Married",5,1,5,12,"Single detached",2,3,"Mortgage","1960-1969",2100,400,"No","Gas",600,"Spanish","Below"
"Sub 1",55100,"Married",2,0,2,6,"Single detached",1,2,"Mortgage","1960-1969",910,200,"No","Electricity",400,"English","Below"
"Sub 1",78600,"Married",3,1,3,6,"Single detached",2,2,"Mortgage","Before 1939",410,80,"No","Gas",480,"English","Below"
"Sub 1",179400,"Female Head",2,0,2,5,"Single attached",1,2,"Mortgage","1960-1969",1200,60,"No","Gas",1200,"Other","Above"
"Sub 1",47300,"Married",4,0,3,9,"Single detached",2,1,"Mortgage","Before 1939",500,120,"No","Gas",600,"English","Below"
"Sub 1",49100,"Married",3,1,5,8,"Single detached",3,3,"Mortgage","Before 1939",1200,100,"No","Oil",1400,"English","Below"
"1-10",68800,"Male Head",3,0,2,6,"Single attached",2,2,"Mortgage","1970-1979",180,30,"No","Oil",430,"English","Below"
"Sub 1",9100,"Female Head",5,2,6,10,"Single detached",2,1,"Mortgage","1960-1969",4000,250,"No","Gas",1100,"Asian Pacific","Below"
"Sub 1",135000,"Married",3,3,5,5,"Single detached",2,2,"Mortgage","1940-1949",6500,90,"No","Oil",0,"English","Below"
"Sub 1",67900,"Married",3,0,3,5,"Single detached",2,0,"Mortgage","1940-1949",2500,130,"No","Gas",1200,"English","Below"
"Sub 1",51704,"Married",4,1,4,8,"Single detached",3,3,"Mortgage","1960-1969",2200,220,"No","Oil",800,"English","Below"
"10+",90000,"Married",2,0,2,10,"Single detached",2,2,"Mortgage","Before 1939",1800,450,"No","Wood",600,"English","Below"
"Sub 1",39000,"Female Head",4,1,4,9,"Single detached",1,2,"Mortgage","1950-1959",310,130,"No","Oil",360,"Spanish","Below"
"Sub 1",60100,"Married",4,0,2,7,"Single detached",2,1,"Mortgage","Before 1939",1400,50,"No","Gas",1000,"English","Below"
"Sub 1",70000,"Female Head",3,0,2,7,"Single detached",2,2,"Mortgage","1940-1949",1200,300,"No","Coal",600,"English","Below"
"Sub 1",199000,"Married",4,0,3,8,"Single detached",1,1,"Mortgage","Before 1939",1000,130,"No","Oil",800,"English","Above"
"Sub 1",52060,"Married",3,0,2,5,"Single detached",3,2,"Mortgage","1950-1959",640,50,"No","Gas",390,"English","Below"
"1-10",156500,"Married",5,0,9,8,"Single detached",3,3,"Mortgage","1940-1949",3000,300,"Yes","Oil",700,"English","Above"
"Sub 1",67000,"Married",3,1,3,7,"Single detached",2,2,"Mortgage","1940-1949",1000,220,"No","Gas",220,"English","Below"
"Sub 1",33600,"Married",2,0,2,5,"Single detached",2,2,"Mortgage","Before 1939",620,100,"No","Gas",1400,"English","Below"
"Sub 1",152720,"Married",3,0,5,8,"Single detached",3,3,"Mortgage","1950-1959",3200,300,"No","Oil",1800,"Other European","Above"
"1-10",122700,"Married",2,0,2,6,"Single attached",2,0,"Outright","2006",140,160,"No","Gas",300,"English","Below"
"Sub 1",30500,"Married",3,2,4,5,"Single attached",0,3,"Mortgage","Before 1939",1100,140,"No","Oil",1000,"Other European","Below"
"Sub 1",105000,"Married",3,2,4,8,"Single detached",2,2,"Mortgage","1980-1989",1600,40,"No","Gas",600,"English","Below"
"Sub 1",5200,"Female Head",2,0,2,5,"Single detached",1,1,"Rented","Before 1939",580,140,"No","Gas",0,"English","Below"
"1-10",82900,"Married",4,0,4,8,"Single detached",2,2,"Mortgage","1990-1999",900,100,"No","Oil",700,"English","Below"
"Sub 1",28000,"Female Head",2,2,3,4,"Single attached",1,1,"Rented","Before 1939",630,60,"No","Gas",0,"English","Below"
"Sub 1",40000,"Married",3,3,5,9,"Single detached",2,1,"Mortgage","1960-1969",3400,300,"No","Gas",1100,"English","Below"
"1-10",149000,"Married",4,1,3,9,"Single detached",2,2,"Mortgage","Before 1939",2200,300,"No","Oil",800,"English","Below"
"Sub 1",115000,"Female Head",4,0,3,10,"Single detached",2,2,"Rented","1940-1949",1500,90,"No","Gas",0,"English","Below"
"Sub 1",45300,"Married",5,2,4,9,"Single detached",4,3,"Mortgage","Before 1939",430,100,"No","Gas",1500,"English","Below"
"Sub 1",103860,"Married",4,0,3,7,"Single detached",0,3,"Mortgage","1950-1959",1700,200,"No","Gas",440,"Other European","Below"
"Sub 1",165100,"Married",4,2,4,8,"Single detached",2,2,"Mortgage","1970-1979",580,200,"No","Gas",600,"English","Above"
"Sub 1",166300,"Married",3,0,4,5,"Single detached",2,3,"Mortgage","1950-1959",2400,250,"No","Gas",2000,"Other European","Above"
"Sub 1",23860,"Married",3,0,2,6,"Single detached",2,1,"Mortgage","1940-1949",2000,330,"No","Gas",1200,"Other European","Below"
"Sub 1",62000,"Married",3,0,2,6,"Single detached",2,2,"Mortgage","Before 1939",250,60,"No","Gas",760,"English","Below"
"1-10",16000,"Female Head",4,0,3,12,"Single detached",2,1,"Mortgage","1970-1979",680,80,"No","Wood",480,"English","Below"
"Sub 1",80600,"Married",2,0,2,5,"Single detached",2,2,"Mortgage","2009",1300,80,"No","Oil",500,"English","Below"
"Sub 1",83700,"Married",5,2,4,21,"Single detached",2,2,"Mortgage","1960-1969",1800,180,"No","Gas",580,"English","Below"
"Sub 1",369000,"Married",4,3,5,9,"Single detached",2,1,"Mortgage","1980-1989",2000,150,"No","Gas",1000,"English","Above"
"Sub 1",139500,"Married",3,0,3,7,"Single detached",3,2,"Mortgage","1950-1959",2300,210,"No","Oil",2000,"English","Below"
"1-10",97000,"Married",3,0,2,8,"Single detached",2,2,"Mortgage","Before 1939",510,130,"No","Gas",1000,"English","Below"
"Sub 1",45000,"Male Head",2,2,3,6,"Single detached",1,1,"Rented","1950-1959",850,50,"No","Gas",0,"Other European","Below"
"1-10",11140,"Married",3,0,2,5,"Single detached",2,1,"Mortgage","1990-1999",2100,310,"No","Oil",550,"English","Below"
"Sub 1",10000,"Female Head",5,0,3,6,"Single attached",0,1,"Rented","1980-1989",1200,180,"Yes","Gas",0,"English","Below"
"Sub 1",120070,"Married",3,2,4,6,"Single attached",2,1,"Mortgage","Before 1939",2000,360,"No","Gas",930,"Spanish","Below"
"Sub 1",67800,"Married",2,0,2,5,"Single detached",1,2,"Mortgage","Before 1939",730,200,"No","Gas",500,"English","Below"
"1-10",71000,"Married",4,3,5,10,"Single detached",2,2,"Mortgage","1980-1989",590,190,"No","Gas",910,"English","Below"
"Sub 1",71000,"Married",3,1,6,10,"Single detached",3,3,"Mortgage","1960-1969",1200,140,"No","Gas",900,"English","Below"
"Sub 1",33000,"Male Head",4,2,4,6,"Single detached",2,1,"Mortgage","1980-1989",980,240,"No","Gas",600,"English","Below"
"Sub 1",32000,"Married",4,0,2,6,"Single detached",2,1,"Mortgage","1960-1969",710,300,"No","Electricity",500,"English","Below"
"Sub 1",176700,"Married",3,2,4,5,"Single detached",2,2,"Mortgage","1950-1959",3600,250,"No","Oil",1500,"English","Above"
"Sub 1",15200,"Married",2,0,2,4,"Single detached",1,1,"Mortgage","Before 1939",620,80,"Yes","Oil",0,"English","Below"
"Sub 1",146200,"Married",4,1,3,9,"Single detached",2,2,"Mortgage","2006",1400,90,"No","Gas",910,"English","Below"
"Sub 1",33400,"Married",5,0,2,9,"Single attached",1,0,"Mortgage","Before 1939",4400,300,"No","Gas",4800,"English","Below"
"Sub 1",85000,"Married",1,0,2,3,"Single detached",3,2,"Mortgage","1950-1959",2600,150,"No","Gas",500,"Other European","Below"
"1-10",140000,"Married",3,1,3,21,"Single detached",2,2,"Mortgage","1960-1969",2600,150,"No","Gas",200,"English","Below"
"Sub 1",78000,"Married",2,2,4,5,"Single detached",2,1,"Mortgage","1990-1999",1000,80,"No","Electricity",1200,"Asian Pacific","Below"
"Sub 1",135900,"Married",4,0,2,8,"Single detached",2,1,"Mortgage","1960-1969",2300,170,"No","Gas",2300,"English","Below"
"Sub 1",127000,"Married",4,0,2,8,"Single attached",1,2,"Mortgage","1980-1989",2900,90,"No","Gas",2100,"English","Below"
"Sub 1",206800,"Married",4,0,2,6,"Single detached",3,2,"Mortgage","1950-1959",530,80,"No","Gas",0,"English","Above"
"Sub 1",37800,"Female Head",4,0,2,9,"Single detached",1,1,"Mortgage","1970-1979",1500,110,"No","Gas",700,"English","Below"
"Sub 1",201000,"Married",2,0,3,7,"Single detached",2,3,"Mortgage","Before 1939",980,380,"No","Gas",1200,"Other European","Above"
"Sub 1",45500,"Female Head",4,0,4,12,"Single detached",0,3,"Mortgage","1940-1949",840,90,"No","Oil",800,"English","Below"
"Sub 1",133100,"Married",3,0,4,9,"Single attached",3,2,"Mortgage","1970-1979",2000,390,"No","Gas",970,"English","Below"
"Sub 1",68000,"Married",3,1,3,8,"Single detached",2,2,"Mortgage","1950-1959",900,230,"No","Electricity",450,"English","Below"
"Sub 1",199000,"Married",5,0,2,10,"Single detached",1,0,"Mortgage","Before 1939",3900,170,"No","Gas",6600,"English","Above"
"Sub 1",384600,"Married",4,3,5,10,"Single detached",2,1,"Mortgage","1960-1969",2800,240,"No","Oil",1000,"English","Above"
"Sub 1",57300,"Married",3,0,2,8,"Single detached",1,0,"Mortgage","1950-1959",530,140,"No","Gas",900,"English","Below"
"Sub 1",90000,"Married",3,3,5,5,"Single detached",2,1,"Mortgage","1950-1959",4500,300,"No","Gas",1000,"English","Below"
"Sub 1",45300,"Married",3,2,4,6,"Single detached",2,2,"Mortgage","1960-1969",250,60,"No","Wood",0,"English","Below"
"Sub 1",50000,"Female Head",3,1,2,9,"Single detached",1,1,"Mortgage","Before 1939",2000,200,"No","Gas",900,"English","Below"
"10+",87000,"Married",3,0,2,6,"Single detached",2,1,"Mortgage","1970-1979",850,60,"No","Oil",1200,"English","Below"
"1-10",114220,"Married",3,0,2,9,"Single detached",2,0,"Mortgage","1960-1969",1400,160,"No","Oil",700,"English","Below"
"Sub 1",54920,"Married",3,0,2,8,"Single detached",2,0,"Mortgage","1950-1959",280,80,"No","Oil",2500,"English","Below"
"1-10",63200,"Married",2,0,2,5,"Single detached",2,1,"Mortgage","1940-1949",1900,170,"No","Oil",4000,"English","Below"
"Sub 1",2840,"Female Head",3,0,6,4,"Single attached",0,0,"Rented","Before 1939",1700,150,"Yes","Gas",0,"Spanish","Below"
"Sub 1",104600,"Married",3,1,4,9,"Single detached",3,3,"Mortgage","1970-1979",600,80,"No","Coal",410,"Spanish","Below"
"Sub 1",537000,"Married",2,0,3,6,"Single detached",2,2,"Mortgage","1950-1959",530,210,"No","Gas",1200,"Spanish","Above"
"Sub 1",115000,"Married",4,2,4,10,"Single detached",2,2,"Mortgage","2000-2004",3600,300,"No","Gas",2200,"Other European","Below"
"1-10",345100,"Married",5,4,6,11,"Single detached",2,2,"Mortgage","1950-1959",6500,500,"No","Oil",2600,"English","Above"
"1-10",62700,"Married",3,0,2,6,"Single detached",2,0,"Mortgage","Before 1939",560,100,"No","Wood",870,"English","Below"
"Sub 1",405600,"Married",5,0,2,10,"Single detached",2,1,"Mortgage","1960-1969",1700,50,"No","Gas",550,"English","Above"
"Sub 1",77700,"Married",3,0,3,10,"Single detached",3,3,"Mortgage","1990-1999",450,230,"No","Oil",500,"English","Below"
"Sub 1",11300,"Married",4,8,11,7,"Single detached",1,1,"Rented","1950-1959",1500,100,"Yes","Gas",0,"Other European","Below"
